property_code,project_no,sale_date,completed_100,turnover_date,collected_date,SLA_turnover,SLA_collection,status,sale_completed
ALC0001,ALCPH04,8/1/2015,6/13/2017,9/7/2017,10/29/2017,2.866666667,1.709589041,Sold,FALSE
ALC0002,ALCPH04,7/29/2015,6/9/2017,7/14/2017,9/12/2017,1.166666667,1.97260274,Sold,FALSE
ALC0003,ALCPH04,2/27/2019,11/14/2020,12/11/2020,1/24/2021,0.9,1.446575342,Sold,FALSE
ALC0004,ALCPH04,8/1/2015,6/7/2017,7/7/2017,8/26/2017,1,1.643835616,Sold,FALSE
ALC0005,ALCPH04,9/14/2014,8/23/2016,11/18/2016,12/28/2016,2.9,1.315068493,Sold,FALSE
ALC0006,ALCPH04,2/3/2012,2/1/2014,3/1/2014,4/18/2014,0.933333333,1.578082192,Sold,FALSE
ALC0007,ALCPH04,3/28/2013,3/23/2015,6/12/2015,7/31/2015,2.7,1.610958904,Sold,FALSE
ALC0008,ALCPH04,3/30/2013,2/19/2015,4/14/2015,5/29/2015,1.8,1.479452055,Sold,FALSE
ALC0009,ALCPH04,2/27/2013,2/14/2015,5/20/2015,7/4/2015,3.166666667,1.479452055,Sold,FALSE
ALC0010,ALCPH04,3/6/2013,1/30/2015,3/8/2015,4/29/2015,1.233333333,1.709589041,Sold,FALSE
ALC0011,ALCPH04,3/27/2013,3/30/2015,5/14/2015,6/26/2015,1.5,1.41369863,Sold,FALSE
ALC0012,ALCPH04,2/4/2014,1/9/2016,3/13/2016,5/4/2016,2.133333333,1.709589041,Sold,FALSE
ALC0013,ALCPH04,10/29/2016,8/31/2018,10/6/2018,11/23/2018,1.2,1.578082192,Sold,FALSE
ALC0014,ALCPH04,5/9/2013,5/7/2015,8/13/2015,9/24/2015,3.266666667,1.380821918,Sold,FALSE
ALC0015,ALCPH04,3/15/2013,2/2/2015,3/18/2015,4/30/2015,1.466666667,1.41369863,Sold,FALSE
ALC0016,ALCPH04,5/17/2013,5/22/2015,7/28/2015,9/26/2015,2.233333333,1.97260274,Sold,FALSE
ALC0017,ALCPH04,5/27/2012,4/20/2014,7/15/2014,9/8/2014,2.866666667,1.808219178,Sold,FALSE
ALC0018,ALCPH04,6/27/2013,6/14/2015,8/26/2015,10/20/2015,2.433333333,1.808219178,Sold,FALSE
ALC0019,ALCPH04,5/24/2013,4/23/2015,6/27/2015,8/22/2015,2.166666667,1.84109589,Sold,FALSE
ALC0020,ALCPH04,5/22/2013,5/9/2015,6/7/2015,7/20/2015,0.966666667,1.41369863,Sold,FALSE
ALC0021,ALCPH04,2/10/2013,2/5/2015,4/1/2015,5/21/2015,1.833333333,1.643835616,Sold,FALSE
ALC0022,ALCPH04,8/14/2013,7/15/2015,8/10/2015,9/20/2015,0.866666667,1.347945205,Sold,FALSE
ALC0023,ALCPH04,11/28/2014,12/4/2016,2/6/2017,3/23/2017,2.133333333,1.479452055,Sold,FALSE
ALC0024,ALCPH04,6/29/2013,6/13/2015,8/16/2015,10/5/2015,2.133333333,1.643835616,Sold,FALSE
ALC0025,ALCPH04,1/30/2013,2/6/2015,4/9/2015,5/21/2015,2.066666667,1.380821918,Sold,FALSE
ALC0026,ALCPH04,4/14/2013,4/28/2015,7/29/2015,9/23/2015,3.066666667,1.84109589,Sold,FALSE
ALC0027,ALCPH04,4/28/2013,4/19/2015,6/10/2015,8/2/2015,1.733333333,1.742465753,Sold,FALSE
ALC0028,ALCPH04,10/22/2014,10/2/2016,1/7/2017,2/23/2017,3.233333333,1.545205479,Sold,FALSE
ALC0029,ALCPH04,6/29/2013,6/12/2015,7/12/2015,8/26/2015,1,1.479452055,Sold,FALSE
ALC0030,ALCPH04,10/20/2016,8/17/2018,10/9/2018,11/29/2018,1.766666667,1.676712329,Sold,FALSE
ALC0031,ALCPH04,7/17/2013,6/6/2015,7/4/2015,9/2/2015,0.933333333,1.97260274,Sold,FALSE
ALC0032,ALCPH04,6/29/2013,7/6/2015,8/15/2015,10/11/2015,1.333333333,1.873972603,Sold,FALSE
ALC0033,ALCPH04,6/29/2013,6/22/2015,9/25/2015,11/12/2015,3.166666667,1.578082192,Sold,FALSE
ALC0034,ALCPH04,4/17/2013,4/6/2015,6/12/2015,7/26/2015,2.233333333,1.446575342,Sold,FALSE
ALC0035,ALCPH04,6/27/2013,6/30/2015,9/13/2015,11/6/2015,2.5,1.775342466,Sold,FALSE
ALC0036,ALCPH04,1/26/2013,12/25/2014,3/4/2015,4/28/2015,2.3,1.808219178,Sold,FALSE
ALC0037,ALCPH04,4/14/2013,4/23/2015,7/1/2015,8/14/2015,2.3,1.446575342,Sold,FALSE
ALC0038,ALCPH04,8/10/2013,7/8/2015,10/2/2015,11/19/2015,2.866666667,1.578082192,Sold,FALSE
ALC0039,ALCPH04,9/6/2014,8/16/2016,11/27/2016,1/23/2017,3.433333333,1.873972603,Sold,FALSE
ALC0040,ALCPH04,4/19/2014,3/26/2016,6/17/2016,8/9/2016,2.766666667,1.742465753,Sold,FALSE
ALC0041,ALCPH04,10/4/2013,9/24/2015,12/10/2015,1/30/2016,2.566666667,1.676712329,Sold,FALSE
ALC0042,ALCPH04,8/30/2013,8/19/2015,10/10/2015,11/21/2015,1.733333333,1.380821918,Sold,FALSE
ALC0043,ALCPH04,8/30/2013,8/7/2015,10/14/2015,11/26/2015,2.266666667,1.41369863,Sold,FALSE
ALC0044,ALCPH04,8/30/2013,8/30/2015,10/22/2015,12/7/2015,1.766666667,1.512328767,Sold,FALSE
ALC0045,ALCPH04,3/10/2013,1/29/2015,2/24/2015,4/21/2015,0.866666667,1.84109589,Sold,FALSE
ALC0046,ALCPH04,4/17/2013,3/22/2015,4/18/2015,6/1/2015,0.9,1.446575342,Sold,FALSE
ALC0047,ALCPH04,3/18/2013,3/16/2015,4/23/2015,6/19/2015,1.266666667,1.873972603,Sold,FALSE
ALC0048,ALCPH04,3/6/2013,2/25/2015,6/4/2015,7/16/2015,3.3,1.380821918,Sold,FALSE
