entity_cd,property_code,project_no,lot_no,type,area,lot_cost,lot_price,house_cost,house_price,package_cost,package_price,transfer_charges,model,model_area,sales_date,status,date_updated
Alcoves,ALC0001,ALCPH04,1,House & Lot,103.00,8660.23877,16049.84295,22787.40439,48149.50349,31447.64316,64199.34644,2322.732354,HM0004,76,8/1/2015,Sold,3/11/2023
Alcoves,ALC0002,ALCPH04,2,House & Lot,60.00,5052.62547,8658.85169,22822.75534,44644.90957,27875.38081,53303.76126,1928.530082,HM0182,76,7/29/2015,Sold,3/11/2023
Alcoves,ALC0003,ALCPH04,3,House & Lot,60.00,7562.264263,10388.66131,35387.975,51422.66412,42950.23926,61811.32543,2201.99104,HM0181,76,2/27/2019,Sold,3/11/2023
Alcoves,ALC0004,ALCPH04,4,House & Lot,80.00,6811.659273,11673.3662,23076.24531,46140.4997,29887.90458,57813.8659,2091.705668,HM0178,76,8/1/2015,Sold,3/11/2023
Alcoves,ALC0005,ALCPH04,5,House & Lot,80.00,6711.17811,12048.83457,16668.32362,33290.91367,23379.50173,45339.74824,1640.392091,HM0194,44,9/14/2014,Sold,3/11/2023
Alcoves,ALC0006,ALCPH04,6,House & Lot,86.00,8262.871052,12340.63298,18171.495,41764.52912,26434.36605,54105.1621,1957.524765,HM0193,44,2/3/2012,Sold,3/11/2023
Alcoves,ALC0007,ALCPH04,7,House & Lot,142.00,12073.48275,17269.07521,14774.94511,22851.76486,26848.42787,40120.84006,1387.627691,HM0139,40,3/28/2013,Sold,3/11/2023
Alcoves,ALC0008,ALCPH04,8,House & Lot,128.00,10864.4292,15160.7106,14769.76682,22812.47802,25634.19603,37973.18862,1373.869964,HM0140,40,3/30/2013,Sold,3/11/2023
Alcoves,ALC0009,ALCPH04,9,House & Lot,226.00,19162.16779,27101.26791,14754.10594,22533.06037,33916.27373,49634.32828,1795.769997,HM0139,40,2/27/2013,Sold,3/11/2023
Alcoves,ALC0010,ALCPH04,10,House & Lot,154.00,13285.27041,18538.86076,14991.60094,23185.96613,28276.87135,41724.82689,1509.604237,HM0140,40,3/6/2013,Sold,3/11/2023
Alcoves,ALC0011,ALCPH04,11,House & Lot,167.00,14180.89346,19788.6534,14756.00439,22822.47007,28936.89786,42611.12347,1541.670447,HM0139,40,3/27/2013,Sold,3/11/2023
