property_code,project_no,type,sales_date,construction_date,completed_90,completed_100,SLA_90,SLA_100,status
ALC0001,ALCPH04,House & Lot,8/1/2015,8/1/2015,3/3/2017,6/13/2017,19.06849315,3.353424658,Sold
ALC0002,ALCPH04,House & Lot,7/29/2015,7/29/2015,2/27/2017,6/9/2017,19.03561644,3.353424658,Sold
ALC0003,ALCPH04,House & Lot,2/27/2019,2/27/2019,8/28/2020,11/14/2020,18.01643836,2.564383562,Sold
ALC0004,ALCPH04,House & Lot,8/1/2015,8/1/2015,2/22/2017,6/7/2017,18.77260274,3.452054795,Sold
ALC0005,ALCPH04,House & Lot,9/14/2014,9/14/2014,5/8/2016,8/23/2016,19.79178082,3.517808219,Sold
ALC0006,ALCPH04,House & Lot,2/3/2012,2/3/2012,10/11/2013,2/1/2014,20.25205479,3.715068493,Sold
ALC0007,ALCPH04,House & Lot,3/28/2013,3/28/2013,12/4/2014,3/23/2015,20.25205479,3.583561644,Sold
ALC0008,ALCPH04,House & Lot,3/30/2013,3/30/2013,11/1/2014,2/19/2015,19.10136986,3.616438356,Sold
ALC0009,ALCPH04,House & Lot,2/27/2013,2/27/2013,10/29/2014,2/14/2015,20.02191781,3.550684932,Sold
ALC0010,ALCPH04,House & Lot,3/6/2013,3/6/2013,10/8/2014,1/30/2015,19.10136986,3.747945205,Sold
ALC0011,ALCPH04,House & Lot,3/27/2013,3/27/2013,12/10/2014,3/30/2015,20.48219178,3.616438356,Sold
ALC0012,ALCPH04,House & Lot,2/4/2014,2/4/2014,9/22/2015,1/9/2016,19.56164384,3.583561644,Sold
ALC0013,ALCPH04,House & Lot,10/29/2016,10/29/2016,5/25/2018,8/31/2018,18.83835616,3.221917808,Sold
ALC0014,ALCPH04,House & Lot,5/9/2013,5/9/2013,1/20/2015,5/7/2015,20.41643836,3.517808219,Sold
ALC0015,ALCPH04,House & Lot,3/15/2013,3/15/2013,10/12/2014,2/2/2015,18.9369863,3.715068493,Sold
ALC0016,ALCPH04,House & Lot,5/17/2013,5/17/2013,2/8/2015,5/22/2015,20.77808219,3.38630137,Sold
ALC0017,ALCPH04,House & Lot,5/27/2012,5/27/2012,12/31/2013,4/20/2014,19.16712329,3.616438356,Sold
ALC0018,ALCPH04,House & Lot,6/27/2013,6/27/2013,2/25/2015,6/14/2015,19.9890411,3.583561644,Sold
ALC0019,ALCPH04,House & Lot,5/24/2013,5/24/2013,12/30/2014,4/23/2015,19.23287671,3.747945205,Sold
ALC0020,ALCPH04,House & Lot,5/22/2013,5/22/2013,1/24/2015,5/9/2015,20.12054795,3.452054795,Sold
ALC0021,ALCPH04,House & Lot,2/10/2013,2/10/2013,10/20/2014,2/5/2015,20.28493151,3.550684932,Sold
ALC0022,ALCPH04,House & Lot,8/14/2013,8/14/2013,3/25/2015,7/15/2015,19.33150685,3.682191781,Sold
ALC0023,ALCPH04,House & Lot,11/28/2014,11/28/2014,8/14/2016,12/4/2016,20.54794521,3.682191781,Sold
ALC0024,ALCPH04,House & Lot,6/29/2013,6/29/2013,3/4/2015,6/13/2015,20.15342466,3.320547945,Sold
ALC0025,ALCPH04,House & Lot,1/30/2013,1/30/2013,10/16/2014,2/6/2015,20.51506849,3.715068493,Sold
ALC0026,ALCPH04,House & Lot,4/14/2013,4/14/2013,1/7/2015,4/28/2015,20.8109589,3.649315068,Sold
ALC0027,ALCPH04,House & Lot,4/28/2013,4/28/2013,12/24/2014,4/19/2015,19.89041096,3.81369863,Sold
ALC0028,ALCPH04,House & Lot,10/22/2014,10/22/2014,6/13/2016,10/2/2016,19.7260274,3.649315068,Sold
